"Team","Rank"
"LAN",0.039478617601807
"NYA",0.0383073586942638
"HOU",0.0372116706999659
"TBA",0.036604627884067
"BOS",0.0358463949856882
"SLN",0.0353654866139859
"TOR",0.0353206658189705
"MIL",0.0349818057735044
"CHN",0.0349009673596236
"CLE",0.03454138619398
"ATL",0.0344517243819711
"SFN",0.0340031697742031
"SEA",0.0339411551336553
"NYN",0.0334162500386418
"BAL",0.033160184023264
"WAS",0.0326766193040761
"PHI",0.0324370000296221
"SDN",0.0323492949525094
"ANA",0.0321972443100924
"ARI",0.0320033798403351
"OAK",0.0319763604725629
"MIN",0.0318771791932998
"TEX",0.0318453640408472
"PIT",0.0314237154608868
"CIN",0.0306440464792446
"COL",0.0304519444347548
"KCA",0.0299929590849049
"MIA",0.0296904837365093
"DET",0.0295975274170201
"CHA",0.0293054162657438
